id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
4600663,Wonderfull falt whith views. Centre,23844711,José Manuel,,Centro,36.73011,-4.41467,Entire home/apt,84,3,132,2024-06-15,1.14,2,220,18,VFT/MA/18532
4634360,MALAGA HISTORICAL CENTRE (SOHO),6141117,Jose,,Centro,36.71408,-4.42457,Entire home/apt,146,6,11,2024-04-28,0.10,1,110,4,Vft/ma/01558
4636583,Cozy Apartament in the heart of Málaga with Pool,17556274,Fernando,,Centro,36.72592,-4.42006,Entire home/apt,110,3,150,2024-06-16,1.71,5,224,44,VFT/MA/13014
4657305,"Studio, Marqués de Guadiaro",23613433,Marqués De Guadiaro,,Centro,36.72315,-4.41957,Entire home/apt,150,2,73,2024-04-28,0.67,7,339,1,A/MA/01275
4668428,BRIGHT STUDIO-ESPECERIA STREET,11778619,Arantxa,,Centro,36.72086,-4.42314,Entire home/apt,86,6,252,2024-06-12,2.19,14,277,27,VFT/MA/13362
4682525,Sunny flat with Parking  free Old Town,14922045,Jorge,,Centro,36.72567,-4.42122,Entire home/apt,100,4,346,2024-06-09,2.98,3,295,55,VFT / MA / 209
4751452,"NICE PRICES!!! Málaga essentially, WIFI.",3083727,Loly  &,,Este,36.71709,-4.34825,Entire home/apt,244,7,15,2023-08-07,0.14,7,32,1,ctc-2018082080
4800893,Modern holiday flat in the centre of Málaga,24734792,Elena,,Centro,36.72507,-4.41674,Entire home/apt,93,1,114,2022-07-09,1.01,1,172,0,VFT/MA/00198
4805389,Quiet rooftop apartment city centre,24754974,Max,,Centro,36.72328,-4.42207,Entire home/apt,85,2,38,2023-01-26,0.34,1,0,0,CTC-2018090413
4814700,Apart. 1 Bdr.  Marqués de Guadiaro,23613433,Marqués De Guadiaro,,Centro,36.72315,-4.41957,Entire home/apt,127,2,50,2022-09-27,0.46,7,359,0,A/MA/01275
4815312,"Penthouse, Marqués de Guadiaro",23613433,Marqués De Guadiaro,,Centro,36.72315,-4.41957,Entire home/apt,222,2,44,2024-02-17,0.38,7,290,3,A/MA/01275
4834559,"Apartment balcony (2A), Mar y Arte",23613433,Marqués De Guadiaro,,Centro,36.72213,-4.41973,Entire home/apt,105,2,64,2024-03-10,0.57,7,322,3,A/MA/01357
4834767,"Apart. sup. con balcón, Mar y Arte",23613433,Marqués De Guadiaro,,Centro,36.72213,-4.41973,Entire home/apt,126,2,5,2022-11-15,0.05,7,356,0,A/MA/01357
4842824,Modern apartment in the heart of historic centre,24922657,Samuel,,Centro,36.72395,-4.41965,Entire home/apt,139,7,126,2024-06-04,1.09,2,182,18,VFT/MA/01799
4857448,Unique 1 bedroom in Malaga's city centre,24988780,Fred,,Centro,36.72004,-4.41773,Entire home/apt,99,4,142,2024-06-20,1.24,2,196,28,VFT/MA/03176
4864535,HEART OLD TOWN-WELL LOCATED!,5895070,Arantxa & George,,Centro,36.721248626708984,-4.423659801483154,Entire home/apt,83,5,247,2024-06-16,2.14,3,299,30,
4900020,Apartment Málaga center,25221519,Eduardo,,Centro,36.72931,-4.41425,Entire home/apt,67,4,399,2024-06-15,3.53,3,79,40,VFT/MA/01068
4921722,Central apartment in Soho Málaga,25349919,Angel,,Centro,36.71693,-4.42227,Entire home/apt,1000,300,32,2017-09-19,0.29,1,365,0,
