id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1062253664503441794,*2 Room in the center area plaza cataluña rep,294265812,Fer,Ciutat Vella,el Barri Gòtic,41.38687008632058,2.171606291962568,Private room,61,3,2,2024-05-26,1.33,18,26,2,Exempt
1062270235199052536,Rooftop terrace 2 bedrooms Sants,7637808,Sebastien,Sants-Montjuïc,la Bordeta,41.37026651202864,2.1345021306884604,Entire home/apt,60,31,0,,,2,0,0,
1062411749587742088,Habitación cerca de la playa,554522556,Katherine,Sant Martí,Provençals del Poblenou,41.41613432732681,2.2039637490414603,Private room,76,2,24,2024-06-08,5.45,2,177,24,Exempt
1062442661525515068,Centric Apartment with 3 bedrooms/Plaza España,21472437,Benjamin,Sants-Montjuïc,el Poble Sec,41.37433,2.16343,Entire home/apt,212,4,12,2024-05-20,2.75,11,34,12,HUTB-006262
1062823022685227982,Sunny studio with a terrace,2262273,Serket,Sant Martí,Provençals del Poblenou,41.41202532849432,2.2083901924225695,Entire home/apt,149,32,0,,,32,236,0,Exempt
1062910164979321107,5* Room in the center area plaza cataluña rep,294265812,Fer,Ciutat Vella,el Barri Gòtic,41.38725,2.1736,Private room,48,4,7,2024-05-22,3.50,18,27,7,Exempt
1062914766615834811,6* Room in center plaza cataluña rep,294265812,Fer,Ciutat Vella,el Barri Gòtic,41.38733,2.1735,Private room,89,4,0,,,18,19,0,Exempt
1062945998229744990,002 Room in center of barcelona plaza cataluña rep,294265812,Fer,Ciutat Vella,el Barri Gòtic,41.38569,2.17335,Private room,100,5,0,,,18,26,0,Exempt
1063028158635853784,Renovated 2/bd w/ beautiful Catalan architecture,4700787,Lauren,Sarrià-Sant Gervasi,Sarrià,41.3965695,2.1228736,Entire home/apt,100,32,0,,,1,313,0,
1063098492714050572,Clot步行街双人间,539445736,Dawei,Sant Martí,el Camp de l'Arpa del Clot,41.4120466,2.1846208,Private room,67,32,3,2024-05-28,0.94,5,259,3,Exempt
1063144697366983708,Apartamento junto al Parque Güell,500027861,Cristian,Horta-Guinardó,el Carmel,41.42029,2.15777,Entire home/apt,,31,0,,,1,20,0,Exempt
1063150547706188679,"Cosy, lightful flat with terrace",48390436,Morgane,Sants-Montjuïc,el Poble Sec,41.37181,2.16675,Entire home/apt,60,31,0,,,1,39,0,
1063175549066249479,Espaciosa habitación-5 min de playa Levante,59499991,Sebastian,Sant Martí,el Besòs i el Maresme,41.41487351955035,2.2134444367787007,Private room,49,28,2,2024-04-29,0.71,1,89,2,Exempt
1063333982638768706,Habitación para 3 e individual para el 4to,406566540,Gabriela,Eixample,l'Antiga Esquerra de l'Eixample,41.3893,2.15361,Private room,53,1,9,2024-05-26,2.14,2,10,9,Exempt
1063511932804662421,Pool Luxury 2 Terraces Apartment,240804890,Rosa Maria,Sants-Montjuïc,la Marina de Port,41.360204651701565,2.136281579732895,Entire home/apt,113,32,0,,,1,329,0,Exempt
1063517232449382303,Sweet Inn | Charming Duplex 2BR Apt. in Eixample,32037490,SweetInn,Eixample,la Dreta de l'Eixample,41.394574339900444,2.1626142363281957,Entire home/apt,399,1,7,2024-05-30,2.39,195,272,7,HUTB-007558
1063534066357675534,Beach Barcelona,270704,Leonardo,Ciutat Vella,la Barceloneta,41.38004,2.19192,Entire home/apt,87,31,0,,,1,358,0,
1063564949550621880,Chic Room in Central Barcelona,11561418,Susana,Eixample,la Nova Esquerra de l'Eixample,41.37979,2.148,Private room,130,31,0,,,1,268,0,
1063599449501120571,008* Room in the center barceloneta rep,294265812,Fer,Ciutat Vella,la Barceloneta,41.3787,2.18858,Private room,49,4,4,2024-05-11,1.67,18,27,4,Exempt
1063646580617145011,Cozy quiet place in the center,61238521,Cristian,Sants-Montjuïc,el Poble Sec,41.37336,2.1654,Private room,28,14,5,2024-06-10,1.61,2,23,5,Exempt
1063770670377229521,Port Vell double RoomD,13530812,Lili,Ciutat Vella,la Barceloneta,41.3816,2.18545,Private room,90,4,17,2024-05-28,3.36,13,186,17,Exempt
1063836130267603392,wonderful bedroom,31538271,Hola Barcelona,Eixample,l'Antiga Esquerra de l'Eixample,41.38714390681673,2.1588883787394075,Private room,79,3,14,2024-05-29,3.11,15,46,14,Exempt
1063865744557247641,Lovely apartament in the centre,20231571,Joanna,Sants-Montjuïc,Hostafrancs,41.3760144,2.1414442,Entire home/apt,88,31,0,,,1,269,0,
1064249385901400984,Comfortable apartment near Arc de Triomf,1391607,Alba,Eixample,el Fort Pienc,41.39273,2.1789,Entire home/apt,190,3,13,2024-05-29,4.29,113,32,13,HUTB-000000
1064254263788633705,Habitación luminosa con balcón,49431960,Nina,Ciutat Vella,el Raval,41.38106743828721,2.172041450861391,Private room,32,32,0,,,3,136,0,
1064258852284036283,Apartment 2 bedrooms-2 bathrooms Paseo de Gracia,14002195,Agustín,Eixample,la Dreta de l'Eixample,41.3923384,2.1642286,Entire home/apt,490,2,1,2024-02-29,0.28,9,297,1,HUTB-009668
1064280619767582262,Autèntic Monumental 11,20790978,Apartaments Turistics Barcelona S.L,Eixample,el Fort Pienc,41.400550261612025,2.1826768970426627,Entire home/apt,129,32,0,,,21,266,0,
1064283065914033088,Piso con encanto en Gracia,555217374,Nieves,Gràcia,la Vila de Gràcia,41.4026166745545,2.153946912267966,Entire home/apt,67,31,1,2024-05-11,0.83,1,245,1,
1064289751279789702,Apartamento cerca de la playa en Poblenou,114383595,Marta,Sant Martí,el Poblenou,41.405150034941215,2.2050882890890966,Entire home/apt,120,32,1,2024-03-13,0.32,1,239,1,
1064309482831375108,Cozy 2BR apartment in El Born neighborhood,463553544,Merce,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38753,2.18038,Entire home/apt,78,31,0,,,2,184,0,Exempt
1064327649481305140,Habitacion doble,49431960,Nina,Ciutat Vella,el Raval,41.38003205109583,2.1720226317481206,Private room,40,32,0,,,3,271,0,
1064331371122853929,"Alohause | Amplia hab con TV, desk y baño privado",204662752,Tania & Gonzalo,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38252,2.1816,Private room,27,31,1,2024-04-06,0.42,35,68,1,
1064339161113939706,Cozy central 2 bedrooms apt (M10),10380563,Tendency Apartments,Ciutat Vella,el Raval,41.3797592,2.1654015,Entire home/apt,72,1,0,,,42,4,0,Exempt
1064489110707914107,"lovely room in ""eixample""",31538271,Hola Barcelona,Eixample,l'Antiga Esquerra de l'Eixample,41.38736,2.16024,Private room,78,3,11,2024-05-26,2.46,15,43,11,Exempt
1064496683352584608,Lovely Suite in share flat,31538271,Hola Barcelona,Eixample,l'Antiga Esquerra de l'Eixample,41.3854665293487,2.160552332869066,Private room,90,3,11,2024-05-29,2.60,15,35,11,Exempt
1064516328849444131,Clot地铁站精致单人间,539445736,Dawei,Sant Martí,el Camp de l'Arpa del Clot,41.41069758319477,2.1832349522936694,Private room,55,32,3,2024-05-28,1.96,5,172,3,Exempt
1064545947105997166,Piso de 4 habitaciones y 1 baño,64805231,Marc,Eixample,la Dreta de l'Eixample,41.394120634286814,2.1733300978318404,Entire home/apt,79,31,1,2024-05-08,0.77,37,149,1,
1064556906934232445,圣家堂单人间,539445736,Dawei,Sant Martí,el Camp de l'Arpa del Clot,41.410696577383035,2.183241657816092,Private room,25,32,5,2024-05-18,1.30,5,237,5,Exempt
1064582612806013751,Room for one,528129368,Camila,Ciutat Vella,el Raval,41.38045067597709,2.167945987550052,Private room,53,32,16,2024-06-06,3.31,7,58,16,Exempt
1064586184894390930,Room for 3 private bathroom outside,528129368,Camila,Ciutat Vella,el Raval,41.37847537308421,2.167505856860362,Private room,113,32,19,2024-06-05,4.13,7,83,19,Exempt
1064588199303595322,Room for 1,528129368,Camila,Ciutat Vella,el Raval,41.37984643944765,2.1675206268433436,Private room,55,32,24,2024-06-14,4.77,7,69,24,Exempt
1064594728222204236,Room for two,528129368,Camila,Ciutat Vella,el Raval,41.37844,2.16626,Private room,90,32,15,2024-06-03,3.02,7,80,15,Exempt
1064598190299656566,Habitación individual,528129368,Camila,Ciutat Vella,el Raval,41.37861755074873,2.1679663078356386,Private room,59,32,21,2024-06-03,4.12,7,79,21,Exempt
1064600115893611718,Habitación para uno centro,528129368,Camila,Ciutat Vella,el Raval,41.37893645140259,2.1659021546002233,Private room,54,32,23,2024-06-03,5.07,7,79,23,Exempt
1064601689191432132,Habitación para dos baño Privado,528129368,Camila,Ciutat Vella,el Raval,41.37980758903882,2.167604400744175,Private room,114,32,24,2024-06-05,5.07,7,83,24,Exempt
1064676213940614891,R0346- Hab. amueblada en Gracia,357946540,Enter,Gràcia,la Vila de Gràcia,41.39696,2.1561,Private room,31,33,0,,,361,193,0,
1064807415681778054,R0450- Hab. con balcon en El Gòtic,357946540,Enter,Ciutat Vella,el Barri Gòtic,41.38052,2.18161,Private room,33,33,0,,,361,85,0,
1064810209891510848,Encantador estudio en Barcelona,495682094,Mauro,Eixample,Sant Antoni,41.38423,2.16169,Entire home/apt,110,1,0,,,1,197,0,HUTB-006823
1064812864932117445,R0451- Hab. espaciosa con balcon en El Gòtic,357946540,Enter,Ciutat Vella,el Barri Gòtic,41.38049,2.18172,Private room,31,33,0,,,361,192,0,
1064818019824268988,R0452- Hab. con balcon en El Gòtic,357946540,Enter,Ciutat Vella,el Barri Gòtic,41.38088850127854,2.1795689637122435,Private room,,33,0,,,361,60,0,
1064821790675838179,R0453- Hab. amueblada en El Gòtic,357946540,Enter,Ciutat Vella,el Barri Gòtic,41.38041,2.1815,Private room,,33,0,,,361,39,0,
1064883477318214120,Newly refurbished modern flat,469084039,Shun,Ciutat Vella,el Raval,41.37799025975531,2.1699896268512524,Entire home/apt,56,32,0,,,1,88,0,Exempt
1065025849660356883,Quiet Haven,537682255,Steveng,Sant Martí,el Besòs i el Maresme,41.41478,2.21769,Private room,40,2,14,2024-05-29,3.59,2,32,14,HUTB-319237
1065135343538409218,Tossa - 2 bedroom and terrace in Eixample Esquerra,346367515,Ukio,Eixample,l'Antiga Esquerra de l'Eixample,41.39302209901527,2.149414837376988,Entire home/apt,,31,0,,,406,0,0,
1065155242248589457,roc403 Great 3 bedroom 2 bathr. Apartment Eixample,1447144,Acomodis Apartments,Eixample,la Nova Esquerra de l'Eixample,41.37954907163743,2.1518837648880242,Entire home/apt,889,1,0,,,207,269,0,HUTB-007359
1065348408187271377,Loft Espectacular cerca Camp Nou,136873960,Jordi,Les Corts,la Maternitat i Sant Ramon,41.37880346400262,2.1220642859609296,Entire home/apt,206,10,3,2024-06-11,2.14,4,54,3,Exempt
1065422325867497833,SMF3A2R1- Hab. luminosa en Poble Sec,357946540,Enter,Ciutat Vella,el Raval,41.37478,2.17379,Private room,28,33,0,,,361,131,0,
1065545331992222260,R0446- Hab. amueblada en Gràcia Nova,357946540,Enter,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40481864599875,2.164163481150507,Private room,20,33,0,,,361,215,0,
1065549272419607391,R0447- Hab. acogedora con ventana en Gràcia Nova,357946540,Enter,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40300430261353,2.163541767941717,Private room,,33,0,,,361,70,0,
1065552640525877616,R0448- Hab. amueblada con ventana en Gràcia Nova,357946540,Enter,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.402818197746306,2.1653689309458595,Private room,,33,0,,,361,162,0,
1065556655007961431,R0449- Hab. amueblada con ventana en Gràcia Nova,357946540,Enter,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40267,2.16378,Private room,,33,1,2024-06-05,1,361,330,1,
1065743258983020252,Alohause | Acogedora | Escritorio | Sants,204662752,Tania & Gonzalo,Sants-Montjuïc,Sants,41.37720183994712,2.132531162412495,Private room,20,31,1,2024-04-01,0.39,35,82,1,
1065751573868396394,Serennia Comfort 1 - 4 bedrooms,555643058,Olga,Eixample,la Dreta de l'Eixample,41.38743,2.16556,Entire home/apt,619,3,1,2024-06-09,1,1,89,1,HUTB-008577
1065779323474295332,habitación independiente,302569578,Maria,Gràcia,la Vila de Gràcia,41.40226981001157,2.1601470189392877,Private room,61,31,1,2024-06-01,1,1,116,1,
1065884551928352986,Elegant Sagrada Família View Apartment,480528,Andrei,Eixample,la Sagrada Família,41.40495,2.17213,Entire home/apt,111,32,3,2024-06-07,0.76,36,319,3,
1065960640690912948,Autèntic Carmel - Àtic terrassa,20790978,Apartaments Turistics Barcelona S.L,Horta-Guinardó,el Carmel,41.42377560000001,2.1578278,Entire home/apt,99,32,0,,,21,117,0,Exempt
1066439844257198477,Sunny Double room with balcony,449485386,Joaquín,Gràcia,la Vila de Gràcia,41.40472,2.15101,Private room,44,32,0,,,70,244,0,
1066452249103753160,Cozy single room,449485386,Joaquín,Ciutat Vella,el Raval,41.378397790010894,2.1723797233895517,Private room,,32,0,,,70,254,0,
1066457291814708328,1 Bedroom with Terrace and Community Pool,455185866,Harmony Serviced Residences,Eixample,la Dreta de l'Eixample,41.3895663,2.1639692,Entire home/apt,180,31,1,2024-05-30,1,15,290,1,Exempt
1066522089751902732,"Private terrace, 3 bedrooms, Eixample",134698146,Luis,Eixample,la Nova Esquerra de l'Eixample,41.38276,2.14387,Entire home/apt,398,1,11,2024-04-21,2.31,30,325,11,HUTB-000930
1066544293473222955,Elegance and wood notes in top location,3556337,Alejandro,Eixample,el Fort Pienc,41.3958245,2.1806807,Entire home/apt,,32,0,,,61,18,0,Exempt
1066630480440654368,Fantástico piso modernista reformado,25163968,Massimiliano,Eixample,la Nova Esquerra de l'Eixample,41.381849341611954,2.1538375326499755,Entire home/apt,58,32,2,2024-06-09,1.71,1,157,2,Exempt
1066691304930802885,cosy apartment 3 bedroom,75620994,Sabrina,Ciutat Vella,el Barri Gòtic,41.3811129,2.1813046,Entire home/apt,300,31,0,,,15,269,0,Exempt
1066714028714502518,Cozy Loft in Gracia near Sagrada Familia,555920804,Jazmín,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40849619326594,2.1659092707874867,Entire home/apt,,3,21,2024-06-10,5.25,1,61,21,Exempt
1066843298644230480,Private Room 2 Guest Near Las Ramblas,555762580,Ayelen Y Carlos,Ciutat Vella,el Barri Gòtic,41.37984,2.17467,Private room,479,3,0,,,7,25,0,HUTB-102308
1066848054931295825,Near Plaza Real Private Room For 2 Guests,555762580,Ayelen Y Carlos,Ciutat Vella,el Barri Gòtic,41.38164,2.17553,Private room,118,3,0,,,7,62,0,HUTB-102309
1066848065922778763,Excelente piso en el centro del Poblenou 4 BR,965053,Marta,Sant Martí,el Poblenou,41.40286,2.20404,Entire home/apt,95,32,0,,,1,73,0,
1066852449068111424,Gotic Square Private Apartment,555762580,Ayelen Y Carlos,Ciutat Vella,el Barri Gòtic,41.38126,2.17601,Private room,174,3,1,2024-05-26,1,7,99,1,HUTB-002445
1066859955055451717,Small Room 2 Pax Near Ramblas,555762580,Ayelen Y Carlos,Ciutat Vella,el Barri Gòtic,41.38035,2.17413,Private room,108,3,1,2024-05-30,1,7,76,1,HUTB-000942
1066865999448437534,Las Ramblas Near Private Room 2 Guests,555762580,Ayelen Y Carlos,Ciutat Vella,el Barri Gòtic,41.37969391481938,2.175475729103431,Private room,98,3,8,2024-05-26,2.47,7,60,8,HUTB-006311
1066870851858333930,Barcelona Center Private Room for Rent 2 Guest,555762580,Ayelen Y Carlos,Sants-Montjuïc,el Poble Sec,41.3738921,2.1642308,Private room,128,3,10,2024-05-24,2.59,7,94,10,HUTB-122458
1066882264283221117,Close Plaza Real Private Room for 2 Guests,555762580,Ayelen Y Carlos,Ciutat Vella,el Barri Gòtic,41.38180877406692,2.1746017904485675,Private room,672,3,0,,,7,45,0,HUTB-009924
1067187271414042813,Bonito apartamento para dos,1391607,Alba,Eixample,la Sagrada Família,41.40408852512518,2.177993712656446,Entire home/apt,300,3,0,,,113,80,0,HUTB-001405
1067249106190955676,Pegaso - 2 bedrooms and terrace in Sant Gervasi,346367515,Ukio,Sarrià-Sant Gervasi,Sarrià,41.397025351209976,2.123168184259714,Entire home/apt,146,31,0,,,406,222,0,
1067282894012918818,Centric 3 bedroom flat with lovely ambiance,158023606,Habitat Apartments,Ciutat Vella,el Barri Gòtic,41.379088022206716,2.175223011052773,Entire home/apt,435,1,12,2024-06-03,2.79,140,270,12,HUTB-001508
1067284183908925088,Cozy apartment near Sagrada Familia,1391607,Alba,Eixample,la Sagrada Família,41.40141,2.17885,Entire home/apt,300,3,0,,,113,121,0,HUTB-003105
1067330713187856300,Luxury Loft with Terrace in El Borne,435083769,Rodrigo,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.389520935657316,2.1786223604703414,Entire home/apt,154,31,0,,,1,265,0,Exempt
1067336337362334898,Beauty Room in beautiful Barcelona - Room 1,39789054,MYCOlive - Mani,Eixample,la Sagrada Família,41.40942,2.1729,Private room,26,30,0,,,33,224,0,Exempt
1067343937259615288,Beauty Room in beautiful Barcelona - Room 3,39789054,MYCOlive - Mani,Eixample,la Sagrada Família,41.40801,2.17441,Private room,28,30,0,,,33,255,0,Exempt
1067344293832622527,Beauty Room in beautiful Barcelona - Room 2,39789054,MYCOlive - Mani,Eixample,la Sagrada Família,41.4092,2.17235,Private room,26,30,0,,,33,236,0,Exempt
1067355145079325648,Modern Room in beautiful Barcelona - Room 1,39789054,MYCOlive - Mani,Eixample,la Sagrada Família,41.40301,2.18035,Private room,26,30,0,,,33,245,0,Exempt
1067355510904713510,Modern Room in beautiful Barcelona - Room 3,39789054,MYCOlive - Mani,Eixample,la Sagrada Família,41.40321,2.18054,Private room,27,30,1,2024-03-21,0.34,33,229,1,Exempt
1067355512632184497,Modern Room in beautiful Barcelona - Room 2,39789054,MYCOlive - Mani,Eixample,la Sagrada Família,41.40285,2.1794,Private room,26,30,0,,,33,254,0,Exempt
1067833426553578767,Central Room in beautiful Barcelona - Room 1,39789054,MYCOlive - Mani,Gràcia,el Coll,41.41933,2.15045,Private room,28,30,0,,,33,270,0,Exempt
1067833452391775080,Central Room in beautiful Barcelona - Room 2,39789054,MYCOlive - Mani,Horta-Guinardó,el Carmel,41.42148,2.15045,Private room,26,30,0,,,33,270,0,Exempt
1067833468221407267,Central Room in beautiful Barcelona - Room 3,39789054,MYCOlive - Mani,Horta-Guinardó,el Carmel,41.42117,2.15174,Private room,26,30,0,,,33,218,0,Exempt
1068073619903406777,Dúplex con encanto en el Congrés.,69424118,Molga,Sant Andreu,el Congrés i els Indians,41.42181937805672,2.1809067946997875,Entire home/apt,60,31,1,2024-05-05,0.71,1,264,1,
1068642380705655955,Charming apartment  at the down town,6709450,Alessandro,Ciutat Vella,el Barri Gòtic,41.38585,2.17181,Entire home/apt,100,32,1,2024-03-20,0.34,4,191,1,Exempt
1068667520726271447,luminoso 3 habitaciones con AC,318198148,Bartosz,Ciutat Vella,el Raval,41.3835,2.16604,Entire home/apt,60,30,0,,,1,161,0,Exempt
1068713284608800180,Comfortable and modern flat at the center,33292853,Sayuri,Ciutat Vella,el Raval,41.37855,2.16809,Entire home/apt,198,1,2,2024-04-25,1.02,1,5,2,Exempt
1068762688929740228,Peaceful Room in beautiful Barcelona - Room 1,39789054,MYCOlive - Mani,Eixample,la Nova Esquerra de l'Eixample,41.38875098278817,2.1484159998959225,Private room,26,30,0,,,33,240,0,Exempt
1068783462283908080,Peaceful Room in beautiful Barcelona - Room 2,39789054,MYCOlive - Mani,Eixample,la Nova Esquerra de l'Eixample,41.38567,2.15152,Private room,26,30,0,,,33,246,0,Exempt
1068783574856190156,Peaceful Room in beautiful Barcelona - Room 3,39789054,MYCOlive - Mani,Eixample,l'Antiga Esquerra de l'Eixample,41.38752421266331,2.1520324430456577,Private room,26,30,0,,,33,190,0,Exempt
1068783767669712884,Peaceful Room in beautiful Barcelona - Room 5,39789054,MYCOlive - Mani,Eixample,la Nova Esquerra de l'Eixample,41.3857469595582,2.1536882836746503,Private room,28,30,1,2024-03-21,0.34,33,69,1,Exempt
1068783817089162543,Peaceful Room in beautiful Barcelona - Room 4,39789054,MYCOlive - Mani,Eixample,la Nova Esquerra de l'Eixample,41.38648,2.15162,Private room,28,30,0,,,33,239,0,Exempt
1068857580961081141,Clot地铁站舒适单人房间,539445736,Dawei,Sant Martí,el Camp de l'Arpa del Clot,41.409766165453824,2.183707277916799,Private room,25,32,7,2024-06-02,1.68,5,146,7,Exempt
1068940426979024567,incredible new apartment in #BCN,9548670,Nougava,Les Corts,les Corts,41.38635,2.13964,Entire home/apt,144,32,0,,,11,238,0,Exempt
