Date,Open,High,Low,Close,Adj Close,Volume
2023-07-28,98.070000,101.220001,97.959999,100.550003,97.105827,31956500
2023-07-31,99.790001,102.500000,99.720001,102.160004,98.660675,17726500
2023-08-01,99.870003,101.160004,99.300003,100.099998,96.671242,14333700
2023-08-02,97.720001,97.739998,94.559998,95.070000,91.813530,19452300
2023-08-03,96.709999,98.489998,96.580002,97.580002,94.237556,15370900
2023-08-04,97.735001,98.489998,96.690002,96.900002,93.580849,13434800
2023-08-07,97.779999,97.800003,95.029999,96.559998,93.252487,13893900
2023-08-08,93.510002,94.480003,92.921997,94.220001,90.992645,13504700
2023-08-09,96.025002,96.300003,94.080002,94.849998,91.601067,18640100
2023-08-10,98.309998,101.839996,97.120003,99.209999,95.811722,53193100
2023-08-11,97.339996,97.650002,94.339996,95.720001,92.441269,25185600
2023-08-14,94.239998,94.449997,92.529999,93.459999,90.258682,17581000
2023-08-15,93.000000,93.010002,90.745003,91.589996,88.452728,14756300
2023-08-16,89.629997,90.500000,88.290001,89.120003,86.067337,23292400
2023-08-17,91.940002,91.949997,90.260002,90.650002,87.544930,15732300
2023-08-18,87.779999,88.360001,86.860001,88.029999,85.014671,20391400
2023-08-21,87.599998,88.820000,87.220001,88.570000,85.536171,14167300
2023-08-22,89.279999,89.489998,87.860001,88.080002,85.062958,11611600
2023-08-23,88.370003,90.589996,88.309998,89.839996,86.762672,12185700
2023-08-24,90.489998,90.919998,89.040001,89.110001,86.057686,10684500
2023-08-25,89.250000,90.040001,88.269997,89.820000,86.743362,11382200
2023-08-28,91.500000,92.769997,91.290001,92.239998,89.080467,14613800
2023-08-29,93.449997,94.095001,92.339996,94.029999,90.809158,16928000
2023-08-30,92.550003,94.250000,92.470001,93.650002,90.442169,13779900
2023-08-31,92.980003,93.360001,92.160004,92.900002,89.717857,13332400
2023-09-01,94.550003,96.680000,94.519997,95.010002,91.755592,17452400
2023-09-05,94.529999,95.391998,94.070000,94.650002,91.407921,10097600
2023-09-06,94.150002,95.800003,94.129997,94.449997,91.214767,10123600
2023-09-07,91.639999,91.760002,88.955002,89.970001,86.888222,18667200
2023-09-08,89.599998,90.300003,88.730003,90.050003,86.965485,10333300
2023-09-11,89.730003,90.349998,87.709999,88.709999,85.671379,15773500
2023-09-12,88.190002,89.959999,88.180000,88.300003,85.275429,10262500
2023-09-13,87.940002,88.290001,87.382004,87.639999,84.638031,10634900
2023-09-14,88.550003,88.599998,87.440002,88.000000,84.985703,8643100
2023-09-15,87.769997,88.220001,86.820000,87.070000,84.087555,10130900
2023-09-18,86.150002,87.169998,85.394997,87.019997,84.039268,9291600
2023-09-19,86.120003,87.879997,86.080002,87.110001,84.126190,9247000
2023-09-20,86.970001,87.500000,85.650002,85.739998,82.803116,9228200
2023-09-21,83.860001,84.775002,83.760002,84.110001,81.228951,10622200
2023-09-22,87.364998,88.875000,87.110001,88.300003,85.275429,22469600
2023-09-25,85.879997,87.269997,85.769997,87.220001,84.232422,9897200
2023-09-26,86.459999,87.070000,85.699997,85.910004,82.967293,9666600
2023-09-27,86.379997,86.550003,85.300003,86.190002,83.237701,7233900
2023-09-28,84.889999,85.889999,84.305000,85.540001,82.609962,10093600
2023-09-29,87.290001,87.949997,86.605003,86.739998,83.768860,9647300
2023-10-02,86.750000,87.105003,85.889999,86.529999,83.566055,8209800
2023-10-03,84.500000,85.000000,83.949997,84.540001,81.644218,11448800
2023-10-04,84.275002,84.540001,83.650002,84.080002,81.199982,8904700
2023-10-05,83.519997,83.709999,82.449997,83.669998,80.804024,10334500
2023-10-06,84.250000,86.514999,84.000000,86.059998,83.112152,13410200
2023-10-09,83.910004,85.209999,83.570000,84.849998,81.943596,10880000
2023-10-10,85.669998,87.739998,85.570000,87.169998,84.184128,13557800
2023-10-11,88.010002,88.795998,87.144997,87.779999,84.773239,11111500
2023-10-12,87.580002,87.669998,84.199997,84.510002,81.615250,16158100
2023-10-13,84.059998,85.489998,83.750000,84.019997,81.142029,10325500
2023-10-16,83.699997,84.964996,82.629997,84.309998,81.422096,10075300
2023-10-17,82.750000,84.360001,82.559998,83.910004,81.035797,8270000
2023-10-18,82.959999,83.730003,82.760002,83.010002,80.166626,9321600
2023-10-19,81.480003,82.394997,81.114998,81.610001,78.814583,12624100
2023-10-20,80.230003,80.860001,79.782997,79.940002,77.201782,14618600
2023-10-23,79.419998,80.926003,79.019997,80.510002,77.752258,12715200
2023-10-24,80.449997,83.320000,80.440002,82.870003,80.031425,17925800
2023-10-25,81.300003,82.000000,80.779999,81.029999,78.254448,11390200
2023-10-26,81.264999,83.089996,81.199997,82.510002,79.683754,13010400
2023-10-27,83.870003,84.120003,82.480003,82.820000,79.983131,10795600
2023-10-30,83.629997,84.239998,83.011002,83.139999,80.292175,8980500
2023-10-31,81.940002,82.540001,80.879997,82.540001,79.712723,12094300
2023-11-01,81.705002,82.489998,81.209999,82.480003,79.654785,9550000
2023-11-02,83.650002,83.980003,83.029999,83.410004,80.552933,10606300
2023-11-03,84.940002,86.080002,84.500000,85.309998,82.387840,15122600
2023-11-06,86.550003,86.720001,85.230003,85.360001,82.436127,9786400
2023-11-07,84.860001,85.660004,84.110001,85.410004,82.484421,8829400
2023-11-08,84.620003,85.730003,84.480003,84.800003,81.895317,8154600
2023-11-09,84.580002,84.690002,82.474998,82.730003,79.896225,10885100
2023-11-10,82.410004,82.870003,81.660004,82.750000,79.915535,9779500
2023-11-13,82.750000,83.315002,82.080002,82.260002,79.442322,11236900
2023-11-14,82.760002,84.535004,82.320000,83.870003,80.997177,20897600
2023-11-15,86.959999,87.830002,85.889999,87.070000,84.087555,28991000
2023-11-16,79.519997,80.769997,78.231003,79.110001,76.400215,63008500
2023-11-17,77.019997,78.466003,76.750000,77.599998,74.941940,35497300
2023-11-20,76.910004,78.745003,76.559998,78.459999,75.772484,31506800
